text,location,date,textHuman
"[""annapodolanczuk"",""today"",""told"",""year"",""old"",""needs"",""intubation"",""scared"",""not"",""breathe"",""told"",""wife"",""year""]","[-2.97489,56.46913]",Sun Mar 29 11:51:28 +0000 2020," @AnnaPodolanczuk: Today.

I told a 28 year old that he needs intubation. He was scared. Couldn’t breathe. 

I told the wife of a 47 year…"
"[""media"",""tells"",""coming"",""panicthe"",""quran"",""tells"",""last"",""day"",""hour"",""coming"",""yo"",""httpstcojtclddaqz""]","[5.23494,11.43522]",Sun Mar 29 11:51:28 +0000 2020,"The media tells you the Coronavirus is coming and you panic,The Qur'an tells you last day and hour is coming and yo… https://t.co/JT7cLDdAQz"
"[""muslimtv"",""covid"",""impact""]","[12.42241,50.35103]",Sun Mar 29 11:51:28 +0000 2020," @muslimtv: Covid-19: The Impact

کرونا وائرس کی وبا کے متعلق رہنمائی اور تازہ ترین صورتحال پر گفتگو کا پروگرام آج دوپہر ایک بجے(جی۔ایم۔ٹ…"
"[""leaders"",""rulers"",""crisis"",""fear"",""thoughtlessness"",""directionless"",""covid"",""india"",""httpstcojoxqhgob""]","[72.88261,19.07283]",Sun Mar 29 11:51:28 +0000 2020,#leaders #rulers #crisis #fear #thoughtlessness #directionless #covid19 #coronavirus #india https://t.co/jo66XqHGOB
"[""marteauolivier"",""ca"",""va"",""faire"",""des"",""vagues"",""en"",""france"",""le"",""patron"",""de"",""novartis"",""declare"",""lhydrochloroquine"",""tue"",""le"",""la"",""chloroqu""]","[3.7375,43.60528]",Sun Mar 29 11:51:28 +0000 2020," @MarteauOlivier: Ça va faire des vagues en France.
Le patron de Novartis déclare: ""l'#hydrochloroquine tue le #coronavirus. La #chloroqu…"
"[""askanshul"",""selfstyled"",""god"",""woman"",""maa"",""aadi"",""shakti"",""arrested"",""she"",""refused"",""call"",""off"",""gathering"",""amp"",""pointed"",""sword""]","[76.79336,34.9274]",Sun Mar 29 11:51:29 +0000 2020," @AskAnshul: Coronavirus:

1. UP: self-styled God woman 'Maa Aadi Shakti’ arrested, she refused to call off gathering &amp; pointed sword at…"
"[""omarabdullah"",""announcing"",""lockdown"",""government"",""ordered"",""complete"",""moratorium"",""evictions"",""residential""]","[72.58727,23.02579]",Sun Mar 29 11:51:29 +0000 2020," @OmarAbdullah: While announcing the lockdown the government should have ordered a complete moratorium on any evictions from residential…"
"[""ready"",""nights"",""week""]","[14.54306,35.84194]",Sun Mar 29 11:51:29 +0000 2020,Should ready how many nights a week
"[""elyxyak"",""telechargez"",""le"",""modele"",""de"",""masque"",""barriere"",""groupe"",""afnor"",""httpstcoudsmugzpio""]","[1.7726,45.81376]",Sun Mar 29 11:51:29 +0000 2020," @ElyxYak: Coronavirus : téléchargez le modèle de masque barrière - Groupe AFNOR https://t.co/UDSMUGzpIO"
"[""conflitsfr"",""pandemie"",""de"",""comparaison"",""des"",""tests"",""entre"",""lislande"",""en"",""bleu"",""qui"",""teste"",""enormement"",""amp"",""meme"",""ceux"",""sans"",""symptom""]","[6.15283,48.67333]",Sun Mar 29 11:51:29 +0000 2020," @Conflits_FR: 💊 Pandemie de #coronavirus : comparaison des tests entre l'Islande (en bleu, qui teste énormément &amp; même ceux sans symptôm…"
"[""frankma"",""stephenggoodwin"",""look"",""italy"",""france"",""numbers"",""roaring"",""uplockdown"",""not"",""working"",""httpstcokqypwsili""]","[144.87353,-37.78035]",Sun Mar 29 11:51:29 +0000 2020,@FrankMa65308535 @stephenggoodwin Look at Italy and France. Numbers still roaring up and up.lockdown not working.… https://t.co/KqYpwsil5i
"[""drisapantami"",""beg"",""allah"",""swt"",""exalted"",""namesalhayyu"",""amp"",""alqayyum"",""heal"",""tested"",""positive"",""n""]","[7.43879,10.52641]",Sun Mar 29 11:51:29 +0000 2020," @DrIsaPantami: We beg Allah (SWT) with His most exalted names-AlHayyu &amp; AlQayyum to heal all those tested positive with CoronaVirus in N…"
"[""spectatorindex"",""just"",""iran"",""records"",""new"",""deaths"",""raising"",""its"",""death"",""toll""]","[3.39467,6.45407]",Sun Mar 29 11:51:29 +0000 2020," @spectatorindex: JUST IN: Iran records 123 new coronavirus deaths, raising its death toll to 2,640"
"[""cheedee"",""comment"",""il"",""bombarde""]","[5.10485,47.28984]",Sun Mar 29 11:51:29 +0000 2020," @Cheedee: Comment il BOM-BARDE 😭😭😭"
"[""zzs"",""salutetofrontlinesoldiers"",""urge"",""public"",""stay"",""inside"",""homes"",""stay"",""safe"",""doctors"",""police"",""law"",""enforcement"",""agencies""]","[67.99298,24.3944]",Sun Mar 29 11:51:29 +0000 2020," @z1z1s2: #SaluteToFrontLineSoldiers
He urge public to stay inside homes and stay safe, doctors, police and all law enforcement agencies…"
"[""quinsyg"",""witprivilege"",""httpstcozunxsdst""]","[6.5625,52.99667]",Sun Mar 29 11:51:29 +0000 2020," @quinsyg: #witprivilege https://t.co/ZuNxs7ds4T"
"[""sergionovelli"",""en"",""la"",""noche"",""de"",""este"",""sabado"",""de"",""marzo"",""se"",""detecto"",""un"",""caso"",""sospechoso"",""de"",""covid"",""en"",""la"",""parroquia"",""san"",""jose"",""de"",""caracas"",""y""]","[-66.87919,10.48801]",Sun Mar 29 11:51:29 +0000 2020," @SergioNovelli: En la noche de este sábado 28 de marzo, se detectó un caso sospechoso de Covid19 en la Parroquia San José de Caracas, y…"
"[""artk"",""tek"",""eglencem"",""bulask"",""ykarken"",""dans"",""etmek"",""haydi"",""bakalm"",""yandan"",""yandan"",""korona"",""covid"",""karantina"",""evdekal""]","[28.94966,41.01384]",Sun Mar 29 11:51:29 +0000 2020,"Artık tek eğlencem bulaşık yıkarken dans etmek haydi bakalım yandan yandan 
#korona #covid19 #karantina #evdekal"
